Flight Number, Start Time (UTC), Sim Start Time (UTC), Origination Airport, Origination Airport Name, Departure Runway, Destination Airport, Destination Airport Name, Flight Time, Flight Time - Day, Flight Time - Night, Flight Distance (nm), Take Offs, Day Takeoffs, Night Takeoffs, Landings, Day Landings, Night Landings, Aircraft Mfg, Aircraft Type, Aircraft Codename, Aircraft Model, Startup Location, Type of Flight Decoded, Latitude,Longitude,Weather,Flight Description
117,2022/11/16 10:32:01,2022/9/3 14:15:00,KJRB,"Downtown Manhattan Heliport,  New York NY",0,KJFK,"John F Kennedy International Airport,  New York NY",00:14:17,00:14:17,00:00:00,13.1025,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Discovery Flight,40.6388412027895,-73.7936941534281,"HelicoWeather","asobo-discovery-helicopters"
118,2022/11/19 5:06:40,2022/11/19 5:01:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:05:34,00:05:34,00:00:00,3.0776,1,1,0,1,1,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Runway,Free Flight,22.3167155747744,114.202864179388,"实况","asobo-freeflights"
119,2022/11/19 5:15:03,2022/9/3 14:15:00,KJRB,"Downtown Manhattan Heliport,  New York NY",0,KJRB,"Downtown Manhattan Heliport,  New York NY",00:03:18,00:03:18,00:00:00,2.7928,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Discovery Flight,40.6798290299198,-73.9573829155415,"HelicoWeather","asobo-discovery-helicopters"
120,2022/11/19 5:20:20,2022/9/3 14:15:00,KJRB,"Downtown Manhattan Heliport,  New York NY",0,KJFK,"John F Kennedy International Airport,  New York NY",00:10:47,00:10:47,00:00:00,11.2699,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Discovery Flight,40.6359707051266,-73.788532409817,"HelicoWeather","asobo-discovery-helicopters"
121,2022/11/19 14:13:15,2022/11/19 14:01:01,KBWI,"Baltimore/Washington International Thurgood Marshall Airport,  Baltimore MD",22,KBWI,"Baltimore/Washington International Thurgood Marshall Airport,  Baltimore MD",00:00:32,00:00:32,00:00:00,0.0825,0,0,0,0,0,0,Nemeth Designs,"PLANETYPE_ROTORCRAFT","microsoft-aircraft-bell407","Bell 407 Blue Stripes",Runway,Free Flight,39.1809343364911,-76.659143390134,"实况","asobo-freeflights"
122,2022/11/19 14:15:16,2022/11/19 14:01:02,KBWI,"Baltimore/Washington International Thurgood Marshall Airport,  Baltimore MD",22,KBWI,"Baltimore/Washington International Thurgood Marshall Airport,  Baltimore MD",00:00:51,00:00:51,00:00:00,0.6057,0,0,0,0,0,0,Nemeth Designs,"PLANETYPE_ROTORCRAFT","microsoft-aircraft-bell407","Bell 407 Blue Stripes",Runway,Free Flight,39.1719539080661,-76.6557597834617,"实况","asobo-freeflights"
123,2022/11/19 14:17:54,2022/11/19 19:01:34,KBWI,"Baltimore/Washington International Thurgood Marshall Airport,  Baltimore MD",22,KFME,"Tipton Airport,  Fort Meade(Odenton) MD",00:05:56,00:05:56,00:00:00,9.9335,1,1,0,0,0,0,BlueMesh / Microsoft,"PLANETYPE_OTHER","microsoft-aircraft-hughes-h4-hercules","Hercules H-4",Runway,Free Flight,39.0549203889319,-76.7160577699542,"实况","asobo-freeflights"
124,2022/11/19 14:27:05,2022/11/19 19:01:26,KSAN,"San Diego International Airport,  San Diego CA",9,KSAN,"San Diego International Airport,  San Diego CA",00:00:00,00:00:00,00:00:00,0.1758,0,0,0,0,0,0,Microsoft / iniBuilds,"PLANETYPE_AIRLINER","microsoft-aircraft-a310-300","A310-300 White Livery",Runway,Free Flight,32.7362441572725,-117.200704235584,"实况","asobo-freeflights"
125,2022/11/19 14:37:15,2022/11/19 17:27:04,KSAN,"San Diego International Airport,  San Diego CA",9,KNKX,"Miramar Marine Corps Air Station - Mitscher Field,  San Diego CA",00:04:22,00:04:22,00:00:00,20.8648,1,1,0,0,0,0,FlyByWire Simulations,"PLANETYPE_AIRLINER","flybywire-aircraft-a320-neo","Airbus A320neo FlyByWire",Runway,Free Flight,32.9332736771065,-117.051055077463,"实况","asobo-freeflights"
126,2022/11/19 14:47:40,2003/5/5 10:30:00,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",0,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:05:53,00:05:53,00:00:00,6.7600,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Discovery Flight,22.2977198990177,114.118904666975,"Custom Hong Kong","microsoft-discovery-hongkong"
127,2022/11/23 6:16:52,2022/11/23 15:22:02,KFFA,"First Flight Airport,  Kill Devil Hills NC",3,KFFA,"First Flight Airport,  Kill Devil Hills NC",00:03:16,00:03:16,00:00:00,0.6290,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Runway,Free Flight,36.0155402804509,-75.6698825117201,"实况","asobo-freeflights"
128,2022/11/26 5:10:08,2006/8/6 19:11:19,TNCM,"Princess Juliana International Airport,  Saint Martin",0,TNCM,"Princess Juliana International Airport,  Saint Martin",00:02:33,00:02:33,00:00:00,11.1849,0,0,0,0,0,0,Microsoft / iniBuilds,"PLANETYPE_AIRLINER","microsoft-aircraft-a310-300","A310-300 World Travel Airlines",Flying,IFR or Bush Flight,18.0298657734896,-63.4042354021221,"Custom St Martin","microsoft-approach-caribbean"
129,2022/11/29 13:38:37,2022/11/28 18:32:26,ZBAA,"Beijing Capital International Airport,  Beijing 11",36,ZGUO,"",00:05:19,00:05:14,00:00:05,46.6005,1,0,1,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Asobo",Runway,Free Flight,40.1852215862224,117.290637530386,"实况","asobo-freeflights"
130,2022/11/29 13:46:25,2022/11/29 13:46:25,LFPG,"Charles de Gaulle International Airport,  Paris IDF",8,EGKK,"London Gatwick Airport,  Gatwick  Surrey",00:24:53,00:24:53,00:00:00,174.4966,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Asobo",Runway,Free Flight,51.1567585672507,-0.161629412323236,"实况","asobo-freeflights"
131,2022/11/29 14:14:58,2022/11/29 14:14:59,EGLL,"London Heathrow Airport,  London ENG",9,HAMCP,"",00:05:04,00:05:04,00:00:00,12.4813,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_TURBO","asobo-aircraft-tbm930","TBM 930 Asobo",Runway,Free Flight,51.3083820331442,-0.399292996153235,"实况","asobo-freeflights"
132,2022/11/29 14:36:40,2022/11/29 14:36:40,LFBD,"Bordeaux-Mérignac Airport,  Bordeaux/Mérignac NAQ",29,LFBO,"Toulouse-Blagnac Airport,  Toulouse/Blagnac OCC",00:31:37,00:31:37,00:00:00,116.7872,1,1,0,1,1,0,DeimoS Inc,"PLANETYPE_TURBO","deimosinc-aircraft-pc21","PC21-A",Runway,Free Flight,43.6325812982728,1.36943819001317,"实况","asobo-freeflights"
133,2022/12/3 3:44:44,2022/12/2 19:06:38,ZGSZ,"Shenzhen Bao'an International Airport,  Shenzhen (Bao'an) 44",33,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:13:53,00:13:53,00:00:00,30.3116,1,1,0,0,0,0,DeimoS Inc,"PLANETYPE_TURBO","deimosinc-aircraft-pc21","PC21-A",Runway,Free Flight,22.3396795560777,114.166027642787,"TT:MENU.WEATHERTYPE_9CLEAR_SKY","asobo-freeflights"
134,2022/12/3 4:04:23,2022/12/3 4:04:24,ZGSZ,"Shenzhen Bao'an International Airport,  Shenzhen (Bao'an) 44",33,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:18:47,00:18:47,00:00:00,31.7671,1,1,0,1,1,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3237793386157,114.199138004333,"实况","asobo-freeflights"
135,2022/12/4 13:10:30,2022/12/4 13:10:30,LEAL,"Alicante-Elche Miguel Hernández Airport,  Alicante VC",28,LEVC,"Valencia Airport,  Valencia VC",00:21:27,00:21:27,00:00:00,81.4111,1,1,0,1,1,0,IRIS Simulations,"PLANETYPE_TURBO","iris-aircraft-pc21","IRIS PC-21 - PILATUS 2022",Runway,Free Flight,39.4925678006349,-0.480994842946529,"实况","asobo-freeflights"
136,2022/12/9 16:17:00,2022/7/19 16:24:00,EDLO,"Flugplatz Oerlinghausen,  Oerlinghausen NW",22,EDLO,"Flugplatz Oerlinghausen,  Oerlinghausen NW",00:00:46,00:00:46,00:00:00,1.1577,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_GLIDER","asobo-aircraft-dg1001-e","Asobo DG1001E Neo",Runway,Tutorial Mission,51.9190061739196,8.65178637206554,"Custom Clear Skies","microsoft-tutorials-glider-aerotow"
137,2022/12/9 16:21:38,2022/12/9 16:21:38,TFFJ,"Saint Barthélemy - Rémy de Haenen Airport,  Gustavia / Saint-Jean",10,TFFJ,"Saint Barthélemy - Rémy de Haenen Airport,  Gustavia / Saint-Jean",00:00:40,00:00:40,00:00:00,0.9144,1,1,0,1,1,0,IRIS Simulations,"PLANETYPE_TURBO","iris-aircraft-pc21","IRIS PC-21 - PILATUS 2022",Runway,Free Flight,17.9101507236234,-62.837404422462,"实况","asobo-freeflights"
138,2022/12/9 16:23:17,2022/12/9 16:23:17,TFFJ,"Saint Barthélemy - Rémy de Haenen Airport,  Gustavia / Saint-Jean",10,TNCM,"Princess Juliana International Airport,  Saint Martin",00:24:58,00:24:58,00:00:00,68.1280,1,1,0,0,0,0,IRIS Simulations,"PLANETYPE_TURBO","iris-aircraft-pc21","IRIS PC-21 - PILATUS 2022",Runway,Free Flight,17.8815087359712,-63.0910662095994,"实况","asobo-freeflights"
139,2022/12/10 6:14:46,2022/12/10 11:50:13,KBWI,"Baltimore/Washington International Thurgood Marshall Airport,  Baltimore MD",28,KFFA,"First Flight Airport,  Kill Devil Hills NC",00:48:03,00:48:03,00:00:00,199.3934,1,1,0,1,1,0,IRIS Simulations,"PLANETYPE_TURBO","iris-aircraft-pc21","IRIS PC-21 - PILATUS 2022",Runway,Free Flight,36.0143884820156,-75.671800961718,"实况","asobo-freeflights"
140,2022/12/10 7:27:05,2022/12/10 14:01:05,KFFA,"First Flight Airport,  Kill Devil Hills NC",3,KFFA,"First Flight Airport,  Kill Devil Hills NC",00:04:42,00:04:42,00:00:00,0.7676,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Runway,Free Flight,36.0142535056365,-75.6677920650691,"实况","asobo-freeflights"
141,2022/12/10 7:35:38,2022/12/10 14:01:01,KFFA,"First Flight Airport,  Kill Devil Hills NC",3,KFFA,"First Flight Airport,  Kill Devil Hills NC",00:08:15,00:08:15,00:00:00,1.7766,1,1,0,1,1,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Runway,Free Flight,36.0144244757168,-75.6712572276592,"实况","asobo-freeflights"
142,2022/12/16 4:18:59,2022/12/16 4:01:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:06,00:00:06,00:00:00,0.3805,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-da40-ng","DA40-NG Asobo",Runway,Free Flight,22.3097417951858,114.213916808367,"实况","asobo-freeflights"
143,2022/12/16 4:22:41,2022/12/16 4:01:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:56,00:00:56,00:00:00,1.3821,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-da40-ng","DA40-NG Asobo",Runway,Free Flight,22.3174714424976,114.196777241305,"实况","asobo-freeflights"
144,2022/12/16 4:44:31,2022/12/16 4:02:17,RJTT,"Tokyo Haneda International Airport,  Tokyo 13",4,RJTT,"Tokyo Haneda International Airport,  Tokyo 13",00:04:12,00:04:12,00:00:00,3.6681,1,1,0,1,1,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,35.5607868622991,139.774790788069,"实况","asobo-freeflights"
145,2022/12/17 2:38:14,2022/12/17 2:02:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:00,00:00:00,00:00:00,0.1104,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-da40-ng","DA40-NG Asobo",Runway,Free Flight,22.3240762866498,114.193870564923,"实况","asobo-freeflights"
146,2022/12/17 2:40:09,2022/12/17 2:02:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:00,00:00:00,00:00:00,0.1104,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-da40-ng","DA40-NG Asobo",Runway,Free Flight,22.3240762866498,114.193870564923,"实况","asobo-freeflights"
147,2022/12/17 2:44:21,2022/12/17 2:02:23,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:00,00:00:00,00:00:00,0.4676,0,0,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3293313670108,114.195862524211,"实况","asobo-freeflights"
148,2022/12/17 2:46:55,2022/12/17 2:02:23,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:04,00:00:04,00:00:00,0.3663,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3281345764491,114.195020226762,"实况","asobo-freeflights"
149,2022/12/17 2:48:48,2022/12/17 2:02:23,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:01:32,00:01:32,00:00:00,3.3714,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.2843662359087,114.227480152622,"实况","asobo-freeflights"
150,2022/12/17 2:54:04,2022/12/16 18:03:06,RKSI,"Incheon International Airport,  Seoul 28",33,RKSI,"Incheon International Airport,  Seoul 28",00:00:09,00:00:09,00:00:00,0.4008,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,37.4600664883645,126.45822015591,"实况","asobo-freeflights"
151,2022/12/17 2:55:25,2022/12/16 18:03:06,RKSI,"Incheon International Airport,  Seoul 28",33,RKSI,"Incheon International Airport,  Seoul 28",00:00:00,00:00:00,00:00:00,0.1616,0,0,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,37.4561611717949,126.459297649562,"实况","asobo-freeflights"
152,2022/12/17 2:56:51,2022/12/16 18:03:06,RKSI,"Incheon International Airport,  Seoul 28",33,RKSI,"Incheon International Airport,  Seoul 28",00:00:12,00:00:12,00:00:00,0.5683,1,1,0,1,1,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,37.4626490364186,126.457110811025,"实况","asobo-freeflights"
153,2022/12/17 2:58:51,2022/12/16 18:03:06,RKSI,"Incheon International Airport,  Seoul 28",33,RKSI,"Incheon International Airport,  Seoul 28",00:00:08,00:00:08,00:00:00,0.4296,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,37.46024645687,126.457888484001,"实况","asobo-freeflights"
154,2022/12/17 3:07:24,2022/12/17 2:17:01,VHHH,"Hong Kong International Airport,  Islands NT",7,VHSK,"Shek Kong Air Base,  Islands NT",00:03:04,00:03:04,00:00:00,14.4442,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Asobo",Runway,Free Flight,22.4200264953633,114.094574181363,"实况","asobo-freeflights"
155,2022/12/17 3:11:56,2022/12/17 2:17:01,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHH,"Hong Kong International Airport,  Islands NT",00:00:00,00:00:00,00:00:00,0.3577,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Asobo",Runway,Free Flight,22.2991416502112,113.902990445495,"实况","asobo-freeflights"
156,2022/12/17 3:13:04,2022/12/17 2:17:01,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHH,"Hong Kong International Airport,  Islands NT",00:00:37,00:00:37,00:00:00,1.8840,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Asobo",Runway,Free Flight,22.316112680281,113.923218157142,"实况","asobo-freeflights"
157,2022/12/17 3:23:46,2022/12/17 3:01:01,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:03,00:00:03,00:00:00,0.2803,0,0,0,0,0,0,IRIS Simulations,"PLANETYPE_TURBO","iris-aircraft-pc21","IRIS PC-21 - PILATUS 2022",Runway,Free Flight,22.3082750518659,114.215715061873,"实况","asobo-freeflights"
158,2022/12/17 3:25:18,2022/12/17 3:01:01,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:30,00:00:30,00:00:00,1.7472,1,1,0,0,0,0,IRIS Simulations,"PLANETYPE_TURBO","iris-aircraft-pc21","IRIS PC-21 - PILATUS 2022",Runway,Free Flight,22.3085899967506,114.189904499799,"实况","asobo-freeflights"
159,2022/12/17 3:28:17,2022/12/17 3:01:13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:38,00:00:38,00:00:00,1.0961,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3219616567101,114.214848205447,"实况","asobo-freeflights"
160,2022/12/17 3:29:56,2022/12/17 3:01:13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:51,00:00:51,00:00:00,1.0160,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3165266078436,114.205136513337,"实况","asobo-freeflights"
161,2022/12/17 3:32:34,2022/12/17 3:01:13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:06,00:00:06,00:00:00,0.1512,0,0,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.306088434524,114.2150704097,"实况","asobo-freeflights"
162,2022/12/17 3:33:36,2022/12/17 3:01:13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:13,00:00:13,00:00:00,0.2259,0,0,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3072942235109,114.215012323111,"实况","asobo-freeflights"
163,2022/12/17 3:35:34,2022/12/17 3:01:13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:02:32,00:02:32,00:00:00,4.6398,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3119194141025,114.135354151949,"实况","asobo-freeflights"
164,2022/12/17 7:04:18,2022/12/17 7:01:01,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHH,"Hong Kong International Airport,  Islands NT",00:00:08,00:00:08,00:00:00,0.3121,0,0,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.2986917289474,113.896517353132,"实况","asobo-freeflights"
165,2022/12/17 7:31:07,2022/12/17 7:01:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:03,00:00:03,00:00:00,0.3312,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3085540030495,114.215256907046,"实况","asobo-freeflights"
166,2022/12/17 7:49:36,2022/12/17 7:01:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:00,00:00:00,00:00:00,0.1833,0,0,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3056835053866,114.214903106913,"实况","asobo-freeflights"
167,2022/12/17 7:54:22,2022/12/17 7:01:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:07,00:00:07,00:00:00,0.5792,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3097957857375,114.208149891347,"实况","asobo-freeflights"
168,2022/12/17 7:56:26,2022/12/17 7:01:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:02:09,00:02:09,00:00:00,4.0734,1,1,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3110555652761,114.151174826548,"实况","asobo-freeflights"
169,2022/12/17 8:05:07,2022/12/17 7:01:12,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:01:10,00:01:10,00:00:00,3.8747,1,1,0,0,0,0,IRIS Simulations,"PLANETYPE_TURBO","iris-aircraft-pc21","IRIS PC-21 - PILATUS 2022",Runway,Free Flight,22.2945164596196,114.163398910314,"实况","asobo-freeflights"
170,2022/12/17 8:11:38,2022/12/17 7:01:01,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:07,00:00:07,00:00:00,0.3946,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-sr22","SR22 Asobo",Runway,Free Flight,22.308113080211,114.210840230808,"实况","asobo-freeflights"
171,2022/12/17 8:12:39,2022/12/17 7:01:01,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:08,00:00:08,00:00:00,0.8334,1,1,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-sr22","SR22 Asobo",Runway,Free Flight,22.314969880271,114.208061462268,"实况","asobo-freeflights"
172,2022/12/17 8:15:59,2022/12/17 7:01:01,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:55,00:00:55,00:00:00,1.8610,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-sr22","SR22 Asobo",Runway,Free Flight,22.3220786362387,114.192214552313,"实况","asobo-freeflights"
173,2022/12/17 8:19:06,2022/12/17 7:01:05,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:08:25,00:08:25,00:00:00,18.3251,1,1,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-sr22","SR22 Asobo",Runway,Free Flight,22.3040457919864,114.217188265175,"实况","asobo-freeflights"
174,2022/12/17 8:31:36,2022/12/17 7:01:05,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHH,"Hong Kong International Airport,  Islands NT",00:00:29,00:00:29,00:00:00,1.0560,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-sr22","SR22 Asobo",Runway,Free Flight,22.2936436123678,113.914226135239,"实况","asobo-freeflights"
175,2022/12/17 8:41:31,2022/12/17 7:01:05,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHH,"Hong Kong International Airport,  Islands NT",00:00:44,00:00:44,00:00:00,1.5300,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-sr22","SR22 Asobo",Runway,Free Flight,22.3041267778139,113.921515205875,"实况","asobo-freeflights"
176,2022/12/17 8:56:12,2022/12/17 8:02:11,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:12:11,00:12:11,00:00:00,17.1093,1,1,0,1,1,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,22.3197930362187,114.200665354729,"实况","asobo-freeflights"
177,2022/12/19 2:12:07,2022/12/19 13:13:20,LFNC,"Mont-Dauphin - St-Crépin Airfield,   PAC",34,LFNC,"Mont-Dauphin - St-Crépin Airfield,   PAC",00:00:00,00:00:00,00:00:00,0.2505,0,0,0,0,0,0,Microsoft/Carenado,"PLANETYPE_PROPELLER","microsoft-aircraft-v35-bonanza","Beechcraft V35B Bonanza G-BSVH",Runway,Free Flight,44.7010903091959,6.59849979914725,"实况","asobo-freeflights"
